LandisData "Dynamic Input Data"

>>	year	landtype	species	probEst	maxANPP	maxB
0	1	ABIE.BAL	0.581	334	2432
0	1	ACER.RUB	0	0	0
0	1	ACER.SAH	0	0	0
0	1	BETU.ALL	0	0	0
0	1	BETU.PAP	0.651	458	3877
0	1	FAGU.GRA	0	0	0
0	1	LARI.LAR	0.614	196	2215
0	1	PICE.GLA	0.476	516	10831
0	1	PICE.MAR	0.523	818	11720
0	1	PICE.RUB	0	0	0
0	1	PINU.BAN	0.614	473	8896
0	1	PINU.RES	0	0	0
0	1	PINU.STR	0	0	0
0	1	POPU.TRE	0.737	978	9106
0	1	QUER.RUB	0	0	0
0	1	THUJ.SPP.ALL	0	0	0
0	1	TSUG.CAN	0	0	0
0	2	ABIE.BAL	0.551	257	2333
0	2	ACER.RUB	0	0	0
0	2	ACER.SAH	0	0	0
0	2	BETU.ALL	0	0	0
0	2	BETU.PAP	0.651	389	3558
0	2	FAGU.GRA	0	0	0
0	2	LARI.LAR	0.581	213	2050
0	2	PICE.GLA	0.455	663	9484
0	2	PICE.MAR	0.498	862	11432
0	2	PICE.RUB	0	0	0
0	2	PINU.BAN	0.614	539	8011
0	2	PINU.RES	0	0	0
0	2	PINU.STR	0	0	0
0	2	POPU.TRE	0.737	1029	8525
0	2	QUER.RUB	0	0	0
0	2	THUJ.SPP.ALL	0	0	0
0	2	TSUG.CAN	0	0	0
0	3	ABIE.BAL	0.581	287	2387
0	3	ACER.RUB	0	0	0
0	3	ACER.SAH	0	0	0
0	3	BETU.ALL	0	0	0
0	3	BETU.PAP	0.651	430	3851
0	3	FAGU.GRA	0	0	0
0	3	LARI.LAR	0.614	224	2202
0	3	PICE.GLA	0.476	715	9969
0	3	PICE.MAR	0.523	1042	11717
0	3	PICE.RUB	0	0	0
0	3	PINU.BAN	0.614	934	8499
0	3	PINU.RES	0	0	0
0	3	PINU.STR	0	0	0
0	3	POPU.TRE	0.737	980	8833
0	3	QUER.RUB	0	0	0
0	3	THUJ.SPP.ALL	0	0	0
0	3	TSUG.CAN	0	0	0
0	4	ABIE.BAL	0.498	277	2184
0	4	ACER.RUB	0	0	0
0	4	ACER.SAH	0	0	0
0	4	BETU.ALL	0	0	0
0	4	BETU.PAP	0.614	314	3379
0	4	FAGU.GRA	0	0	0
0	4	LARI.LAR	0.455	181	1811
0	4	PICE.GLA	0	0	0
0	4	PICE.MAR	0.455	946	11100
0	4	PICE.RUB	0	0	0
0	4	PINU.BAN	0.131	836	7881
0	4	PINU.RES	0	0	0
0	4	PINU.STR	0	0	0
0	4	POPU.TRE	0.737	863	8380
0	4	QUER.RUB	0	0	0
0	4	THUJ.SPP.ALL	0	0	0
0	4	TSUG.CAN	0	0	0
0	5	ABIE.BAL	0.581	295	2433
0	5	ACER.RUB	0	0	0
0	5	ACER.SAH	0	0	0
0	5	BETU.ALL	0	0	0
0	5	BETU.PAP	0.651	444	3893
0	5	FAGU.GRA	0	0	0
0	5	LARI.LAR	0.614	234	2201
0	5	PICE.GLA	0.476	768	10662
0	5	PICE.MAR	0.523	999	11757
0	5	PICE.RUB	0	0	0
0	5	PINU.BAN	0.651	974	8655
0	5	PINU.RES	0	0	0
0	5	PINU.STR	0	0	0
